date,price,open,high,low,change %
03/05/2021,1698.0,1690.6,1701.0,1685.0,-0.13%
03/04/2021,1700.2,1706.5,1717.4,1700.2,-0.88%
03/03/2021,1715.3,1730.0,1732.4,1703.5,-1.03%
03/02/2021,1733.1,1709.4,1733.1,1708.7,0.62%
03/01/2021,1722.5,1737.1,1747.0,1720.3,-0.32%
02/26/2021,1728.1,1768.1,1768.2,1718.8,-2.61%
02/25/2021,1774.4,1801.5,1802.0,1766.7,-1.22%
02/24/2021,1796.4,1805.8,1805.8,1796.4,-0.44%
02/23/2021,1804.4,1809.6,1811.3,1796.4,-0.13%
02/22/2021,1806.7,1784.0,1807.8,1784.0,1.74%
02/19/2021,1775.8,1764.3,1787.6,1764.3,0.14%
02/18/2021,1773.4,1776.1,1784.6,1766.0,0.13%
02/17/2021,1771.1,1785.8,1789.7,1768.8,-1.45%
02/16/2021,1797.2,1820.9,1823.4,1787.3,-1.34%
02/12/2021,1821.6,1825.0,1827.5,1809.2,-0.18%
02/11/2021,1824.9,1840.5,1845.0,1820.9,-0.85%
02/10/2021,1840.6,1842.6,1851.1,1837.0,0.29%
02/09/2021,1835.3,1841.9,1843.3,1830.7,0.19%
02/08/2021,1831.9,1816.3,1836.7,1809.0,1.16%
02/05/2021,1810.9,1794.3,1813.5,1790.9,1.23%
02/04/2021,1788.9,1832.2,1832.2,1782.8,-2.36%
02/03/2021,1832.2,1834.8,1842.4,1829.8,0.09%
02/02/2021,1830.5,1859.6,1861.3,1827.6,-1.63%
02/01/2021,1860.8,1866.6,1871.9,1850.0,0.73%
01/29/2021,1847.3,1842.0,1876.0,1838.7,0.51%
01/28/2021,1837.9,1843.4,1862.9,1831.5,-0.38%
01/27/2021,1844.9,1844.9,1844.9,1844.9,-0.31%
01/26/2021,1850.7,1855.8,1855.8,1850.7,-0.23%
01/25/2021,1854.9,1864.7,1864.7,1851.8,-0.04%
01/22/2021,1855.7,1854.9,1855.7,1852.7,-0.51%
01/21/2021,1865.3,1865.3,1868.0,1865.3,-0.03%
01/20/2021,1865.9,1847.8,1866.6,1844.4,1.44%
01/19/2021,1839.5,1802.0,1842.9,1802.0,0.56%
01/15/2021,1829.3,1829.4,1829.4,1825.0,-1.13%
01/14/2021,1850.3,1836.7,1850.7,1836.7,-0.18%
01/13/2021,1853.6,1858.0,1858.6,1853.6,0.58%
01/12/2021,1842.9,1849.0,1859.7,1839.4,-0.36%
01/11/2021,1849.6,1826.5,1849.6,1826.5,0.85%
01/08/2021,1834.1,1908.0,1908.0,1834.1,-4.09%
01/07/2021,1912.3,1922.6,1926.7,1912.0,0.28%
01/06/2021,1906.9,1952.0,1959.9,1901.5,-2.35%
01/05/2021,1952.7,1941.7,1952.7,1941.3,0.41%
01/04/2021,1944.7,1912.2,1945.1,1912.2,2.73%
12/31/2020,1893.1,1897.0,1901.3,1892.7,0.11%
12/30/2020,1891.0,1879.9,1895.8,1877.3,0.60%
12/29/2020,1879.7,1881.3,1881.3,1879.7,0.13%
12/28/2020,1877.2,1895.5,1895.8,1873.7,-0.14%
12/24/2020,1879.9,1877.3,1879.9,1875.7,0.28%
12/23/2020,1874.7,1867.0,1878.8,1864.5,0.43%
12/22/2020,1866.6,1882.2,1882.2,1861.0,-0.67%
12/21/2020,1879.2,1884.8,1908.0,1869.1,-0.34%
12/18/2020,1885.7,1882.4,1889.5,1882.3,-0.08%
12/17/2020,1887.2,1874.2,1896.2,1874.2,1.68%
12/16/2020,1856.1,1856.5,1864.7,1850.5,0.21%
12/15/2020,1852.3,1833.5,1853.6,1833.2,1.29%
12/14/2020,1828.7,1835.5,1835.7,1822.7,-0.60%
12/11/2020,1839.8,1838.5,1846.0,1829.1,0.34%
12/10/2020,1833.6,1833.2,1849.1,1828.0,-0.05%
12/09/2020,1834.6,1867.1,1867.1,1827.0,-1.94%
12/08/2020,1870.8,1863.0,1875.8,1861.8,0.48%
12/07/2020,1861.8,1836.5,1866.9,1820.8,1.41%
12/04/2020,1835.9,1840.7,1847.6,1828.2,-0.05%
12/03/2020,1836.8,1829.2,1842.0,1825.3,0.61%
12/02/2020,1825.7,1811.3,1830.0,1807.8,0.64%
12/01/2020,1814.1,1775.0,1815.9,1774.9,2.16%
11/30/2020,1775.7,1785.0,1787.2,1762.3,-0.35%
11/27/2020,1781.9,1806.1,1817.0,1770.7,-1.32%
11/25/2020,1805.7,1801.4,1805.7,1801.4,0.05%
11/24/2020,1804.8,1829.3,1829.3,1799.3,-1.80%
11/23/2020,1837.8,1834.8,1837.8,1829.2,-1.86%
11/20/2020,1872.6,1871.2,1872.6,1871.2,0.62%
11/19/2020,1861.1,1865.8,1865.8,1856.0,-0.66%
11/18/2020,1873.5,1873.5,1873.5,1873.5,-0.58%
11/17/2020,1884.5,1888.4,1888.4,1884.5,-0.15%
11/16/2020,1887.3,1874.6,1887.3,1871.0,0.08%
11/13/2020,1885.7,1877.0,1890.1,1876.8,0.70%
11/12/2020,1872.6,1869.0,1878.5,1866.6,0.64%
11/11/2020,1860.7,1878.8,1878.8,1855.5,-0.78%
11/10/2020,1875.4,1879.3,1885.3,1871.2,1.20%
11/09/2020,1853.2,1955.6,1963.2,1847.1,-4.98%
11/06/2020,1950.3,1940.8,1958.8,1940.8,0.26%
11/05/2020,1945.3,1901.7,1948.0,1901.7,2.68%
11/04/2020,1894.6,1893.8,1907.0,1885.3,-0.73%
11/03/2020,1908.5,1891.5,1908.5,1891.5,0.96%
11/02/2020,1890.4,1872.9,1894.7,1872.9,0.69%
10/30/2020,1877.4,1862.8,1886.6,1862.8,0.63%
10/29/2020,1865.6,1876.1,1879.8,1858.8,-0.56%
10/28/2020,1876.2,1870.9,1876.2,1870.9,-1.71%
10/27/2020,1908.8,1904.6,1908.8,1904.4,0.32%
10/26/2020,1902.7,1895.5,1907.0,1893.5,0.04%
10/23/2020,1902.0,1899.9,1913.3,1896.2,0.05%
10/22/2020,1901.1,1924.3,1924.3,1898.2,-1.22%
10/21/2020,1924.6,1913.6,1927.3,1913.6,0.74%
10/20/2020,1910.4,1901.3,1910.4,1896.1,0.21%
10/19/2020,1906.4,1907.3,1907.8,1899.5,0.29%
10/16/2020,1900.8,1898.5,1900.8,1898.5,-0.13%
10/15/2020,1903.2,1897.3,1906.3,1889.6,0.10%
10/14/2020,1901.3,1889.7,1910.8,1882.5,0.68%
10/13/2020,1888.5,1921.9,1922.2,1887.0,-1.77%
10/12/2020,1922.5,1924.0,1926.5,1921.6,0.16%
10/09/2020,1919.5,1909.3,1929.1,1905.1,1.64%
10/08/2020,1888.6,1893.0,1893.0,1882.7,0.27%
10/07/2020,1883.6,1874.1,1889.8,1873.1,-0.92%
10/06/2020,1901.1,1906.6,1918.0,1874.4,-0.60%
10/05/2020,1912.5,1898.9,1915.6,1884.7,0.65%
10/02/2020,1900.2,1893.9,1913.0,1893.9,-0.43%
10/01/2020,1908.4,1884.1,1909.6,1882.5,1.11%
09/30/2020,1887.5,1893.0,1899.7,1879.8,-0.36%
09/29/2020,1894.3,1876.5,1895.4,1872.4,1.15%
09/28/2020,1872.8,1872.8,1872.8,1872.8,0.81%
09/25/2020,1857.7,1856.3,1857.7,1856.3,-0.57%
09/24/2020,1868.3,1851.5,1868.3,1851.5,0.45%
09/23/2020,1859.9,1875.5,1875.5,1859.9,-2.04%
09/22/2020,1898.6,1913.1,1913.1,1898.6,-0.14%
09/21/2020,1901.2,1946.2,1946.2,1883.4,-2.61%
09/18/2020,1952.1,1950.5,1952.1,1949.0,0.62%
09/17/2020,1940.0,1939.0,1946.0,1933.7,-1.03%
09/16/2020,1960.2,1961.3,1961.4,1956.7,0.20%
09/15/2020,1956.3,1955.8,1968.5,1955.8,0.16%
09/14/2020,1953.1,1946.3,1953.1,1943.0,0.79%
09/11/2020,1937.8,1944.0,1949.5,1937.8,-0.84%
09/10/2020,1954.2,1944.1,1962.7,1944.1,0.49%
09/09/2020,1944.7,1926.9,1946.2,1924.6,0.61%
09/08/2020,1933.0,1930.9,1937.9,1903.1,0.47%
09/04/2020,1923.9,1927.9,1939.7,1917.7,-0.19%
09/03/2020,1927.6,1937.1,1938.8,1923.0,-0.35%
09/02/2020,1934.4,1967.3,1967.3,1934.4,-1.72%
09/01/2020,1968.2,1961.7,1986.3,1961.7,0.03%
08/31/2020,1967.6,1970.0,1971.3,1953.3,0.15%
08/28/2020,1964.6,1927.1,1971.3,1922.5,2.24%
08/27/2020,1921.6,1948.9,1972.5,1921.6,-0.98%
08/26/2020,1940.7,1909.7,1950.8,1909.7,1.51%
08/25/2020,1911.8,1927.5,1928.5,1911.8,-0.82%
08/24/2020,1927.7,1930.2,1940.0,1922.2,-0.36%
08/21/2020,1934.6,1941.0,1945.0,1908.9,0.04%
08/20/2020,1933.8,1941.2,1948.3,1922.3,-1.27%
08/19/2020,1958.7,1980.0,1980.0,1938.7,-2.04%
08/18/2020,1999.4,2001.1,2002.8,1972.1,0.73%
08/17/2020,1985.0,1949.6,1985.0,1949.6,2.48%
08/14/2020,1937.0,1938.7,1947.4,1937.0,-1.01%
08/13/2020,1956.7,1921.5,1957.4,1916.9,1.13%
08/12/2020,1934.9,1923.0,1946.6,1871.6,0.12%
08/11/2020,1932.6,2012.4,2016.0,1904.0,-4.53%
08/10/2020,2024.4,2026.4,2043.8,2017.5,0.71%
08/07/2020,2010.1,2040.1,2055.0,2009.6,-2.02%
08/06/2020,2051.5,2045.5,2063.0,2040.0,1.00%
08/05/2020,2031.1,2024.0,2050.2,2011.0,1.49%
08/04/2020,2001.2,1971.0,2016.2,1968.8,1.79%
08/03/2020,1966.0,1984.3,1984.3,1955.5,0.16%
07/31/2020,1962.8,1948.6,1981.1,1948.0,1.06%
07/30/2020,1942.3,1963.4,1965.1,1930.0,-0.57%
07/29/2020,1953.5,1953.2,1953.5,1952.6,0.45%
07/28/2020,1944.7,1931.5,1944.7,1928.6,0.71%
07/27/2020,1931.0,1901.7,1938.0,1901.5,1.78%
07/24/2020,1897.3,1884.3,1897.3,1884.3,0.43%
07/23/2020,1889.1,1868.7,1890.3,1868.5,1.34%
07/22/2020,1864.1,1858.1,1867.0,1854.7,1.18%
07/21/2020,1842.4,1822.0,1842.4,1822.0,1.46%
07/20/2020,1815.9,1807.0,1817.3,1807.0,0.42%
07/17/2020,1808.3,1798.5,1810.1,1798.5,0.53%
07/16/2020,1798.7,1810.9,1810.9,1794.3,-0.70%
07/15/2020,1811.4,1806.1,1813.5,1806.1,0.04%
07/14/2020,1810.6,1791.0,1811.5,1791.0,-0.02%
07/13/2020,1811.0,1805.0,1811.0,1805.0,0.71%
07/10/2020,1798.2,1805.5,1805.5,1797.7,-0.06%
07/09/2020,1799.2,1816.1,1819.8,1799.2,-0.90%
07/08/2020,1815.5,1801.5,1817.9,1801.5,0.63%
07/07/2020,1804.2,1789.3,1804.2,1783.3,0.88%
07/06/2020,1788.5,1788.2,1790.1,1788.2,0.25%
07/02/2020,1784.0,1773.4,1784.0,1768.7,0.61%
07/01/2020,1773.2,1793.6,1798.0,1765.8,-1.10%
06/30/2020,1793.0,1777.3,1793.2,1774.4,1.03%
06/29/2020,1774.8,1779.8,1780.2,1774.3,0.13%
06/26/2020,1772.5,1766.0,1772.5,1764.7,0.59%
06/25/2020,1762.1,1761.7,1764.8,1759.8,-0.21%
06/24/2020,1765.8,1778.3,1783.1,1764.5,-0.36%
06/23/2020,1772.1,1755.4,1776.3,1754.2,0.88%
06/22/2020,1756.7,1755.2,1767.6,1750.5,0.62%
06/19/2020,1745.9,1723.7,1750.7,1723.5,1.22%
06/18/2020,1724.8,1730.5,1734.1,1717.3,-0.25%
06/17/2020,1729.2,1714.7,1729.2,1714.7,-0.02%
06/16/2020,1729.6,1726.3,1729.6,1722.4,0.54%
06/15/2020,1720.3,1730.0,1730.0,1703.3,-0.52%
06/12/2020,1729.3,1724.9,1743.0,1724.9,-0.16%
06/11/2020,1732.0,1737.2,1744.1,1720.0,1.09%
06/10/2020,1713.3,1716.1,1740.8,1711.9,-0.08%
06/09/2020,1714.7,1694.6,1720.9,1692.0,0.97%
06/08/2020,1698.3,1679.1,1699.4,1675.9,1.32%
06/05/2020,1676.2,1711.8,1711.8,1668.6,-2.48%
06/04/2020,1718.9,1694.5,1718.9,1694.5,1.24%
06/03/2020,1697.8,1726.3,1726.3,1684.5,-1.59%
06/02/2020,1725.2,1743.0,1745.5,1721.8,-0.73%
06/01/2020,1737.8,1740.4,1747.0,1727.1,0.05%
05/29/2020,1736.9,1718.8,1738.3,1715.1,1.38%
05/28/2020,1713.3,1709.3,1727.8,1705.0,0.18%
05/27/2020,1710.3,1685.6,1710.3,1685.6,0.32%
05/26/2020,1704.8,1726.4,1726.4,1704.8,-1.72%
05/22/2020,1734.6,1726.6,1734.6,1726.6,0.82%
05/21/2020,1720.5,1746.8,1746.8,1720.5,-1.72%
05/20/2020,1750.6,1751.6,1752.1,1745.6,0.37%
05/19/2020,1744.2,1744.2,1749.5,1744.2,0.72%
05/18/2020,1731.8,1755.7,1770.5,1731.8,-1.23%
05/15/2020,1753.4,1739.7,1753.4,1739.7,0.88%
05/14/2020,1738.1,1724.3,1743.1,1720.5,1.41%
05/13/2020,1713.9,1702.0,1721.3,1701.9,0.56%
05/12/2020,1704.4,1699.3,1713.1,1699.3,0.54%
05/11/2020,1695.3,1702.3,1704.5,1690.2,-0.85%
05/08/2020,1709.9,1726.2,1728.9,1703.8,-0.69%
05/07/2020,1721.8,1686.2,1721.8,1685.6,2.23%
05/06/2020,1684.2,1704.0,1704.0,1684.2,-1.19%
05/05/2020,1704.4,1701.5,1704.4,1697.2,-0.15%
05/04/2020,1706.9,1702.6,1709.0,1699.6,0.73%
05/01/2020,1694.5,1686.6,1701.5,1670.5,0.61%
04/30/2020,1684.2,1719.3,1719.3,1680.8,-1.13%
04/29/2020,1703.4,1710.0,1713.5,1702.0,-0.42%
04/28/2020,1710.5,1716.6,1716.6,1707.1,-0.08%
04/27/2020,1711.9,1731.9,1731.9,1711.9,-0.67%
04/24/2020,1723.5,1744.0,1744.0,1714.5,-0.57%
04/23/2020,1733.3,1734.0,1745.1,1733.3,0.27%
04/22/2020,1728.7,1696.0,1728.7,1684.8,3.01%
04/21/2020,1678.2,1697.0,1707.1,1659.9,-1.38%
04/20/2020,1701.6,1686.0,1701.6,1680.0,0.73%
04/17/2020,1689.2,1715.7,1725.0,1684.9,-1.81%
04/16/2020,1720.4,1731.0,1750.6,1715.0,-0.39%
04/15/2020,1727.2,1739.4,1744.9,1722.7,-1.68%
04/14/2020,1756.7,1756.8,1775.0,1739.5,0.68%
04/13/2020,1744.8,1722.0,1756.8,1710.7,0.50%
04/09/2020,1736.2,1662.7,1736.2,1662.7,4.25%
04/08/2020,1665.4,1669.7,1677.0,1662.5,0.04%
04/07/2020,1664.8,1695.7,1724.4,1658.0,-0.73%
04/06/2020,1677.0,1629.1,1696.7,1625.9,2.65%
04/03/2020,1633.7,1624.5,1636.0,1619.8,0.49%
04/02/2020,1625.7,1590.9,1631.2,1586.0,3.01%
04/01/2020,1578.2,1570.0,1600.0,1570.0,-0.33%
03/31/2020,1583.4,1618.7,1621.0,1576.0,-2.38%
03/30/2020,1622.0,1641.2,1652.8,1607.2,-0.12%
03/27/2020,1623.9,1623.9,1623.9,1623.9,-1.59%
03/26/2020,1650.1,1660.5,1660.5,1650.1,1.09%
03/25/2020,1632.3,1676.5,1676.5,1631.1,-1.68%
03/24/2020,1660.2,1592.7,1685.5,1592.7,5.95%
03/23/2020,1567.0,1505.3,1567.0,1490.2,5.59%
03/20/2020,1484.0,1483.5,1484.0,1483.5,0.37%
03/19/2020,1478.6,1481.5,1491.6,1471.0,0.09%
03/18/2020,1477.3,1537.5,1542.0,1477.3,-3.12%
03/17/2020,1524.9,1469.3,1537.7,1469.3,2.62%
03/16/2020,1485.9,1569.1,1569.1,1452.1,-1.97%
03/13/2020,1515.7,1574.9,1589.8,1513.8,-4.63%
03/12/2020,1589.3,1637.0,1647.5,1566.4,-3.17%
03/11/2020,1641.4,1656.6,1666.5,1635.0,-1.07%
03/10/2020,1659.1,1671.6,1674.6,1643.0,-0.92%
03/09/2020,1674.5,1696.1,1701.6,1657.7,0.22%
03/06/2020,1670.8,1670.8,1686.2,1647.2,0.26%
03/05/2020,1666.4,1637.3,1672.9,1637.2,1.54%
03/04/2020,1641.1,1645.4,1645.9,1631.3,-0.06%
03/03/2020,1642.1,1594.5,1645.3,1594.0,3.13%
03/02/2020,1592.3,1583.9,1608.3,1574.3,1.80%
02/28/2020,1564.1,1640.3,1642.5,1564.1,-4.63%
02/27/2020,1640.0,1641.1,1658.0,1638.5,0.00%
02/26/2020,1640.0,1644.0,1648.1,1636.4,-0.42%
02/25/2020,1646.9,1645.1,1653.7,1632.3,-1.52%
02/24/2020,1672.4,1657.0,1686.6,1650.0,1.69%
02/21/2020,1644.6,1619.3,1645.0,1619.3,1.73%
02/20/2020,1616.6,1606.5,1621.0,1603.0,0.57%
02/19/2020,1607.5,1600.6,1610.5,1599.7,0.47%
02/18/2020,1600.0,1579.8,1604.3,1579.8,1.09%
02/14/2020,1582.7,1575.8,1582.7,1574.8,0.48%
02/13/2020,1575.1,1570.2,1575.1,1570.2,0.49%
02/12/2020,1567.4,1565.2,1568.7,1561.0,0.11%
02/11/2020,1565.6,1570.9,1571.1,1561.9,-0.58%
02/10/2020,1574.7,1569.3,1574.7,1568.6,0.39%
02/07/2020,1568.6,1564.9,1571.9,1560.5,0.22%
02/06/2020,1565.1,1553.6,1565.6,1551.6,0.47%
02/05/2020,1557.8,1553.2,1560.7,1547.7,0.48%
02/04/2020,1550.4,1577.7,1577.7,1547.8,-1.70%
02/03/2020,1577.2,1592.9,1593.3,1568.2,-0.36%
01/31/2020,1582.9,1573.4,1589.0,1570.0,-0.04%
01/30/2020,1583.5,1576.8,1585.0,1571.4,0.87%
01/29/2020,1569.8,1569.8,1569.8,1569.8,0.04%
01/28/2020,1569.2,1576.4,1576.4,1569.2,-0.48%
01/27/2020,1576.8,1584.3,1584.5,1576.8,0.36%
01/24/2020,1571.1,1556.3,1571.1,1556.3,0.42%
01/23/2020,1564.6,1553.1,1564.6,1552.2,0.60%
01/22/2020,1555.3,1549.8,1557.1,1549.8,-0.07%
01/21/2020,1556.4,1559.3,1566.2,1551.0,-0.15%
01/17/2020,1558.8,1554.1,1558.8,1553.6,0.63%
